"job_title";"job_salary";"job_requirement";"job_addr";"job_exp";"job_edu";"job_tags";"company_name";"company_employee_num";"company_type"
"Python开发";"15K-30K";"工作职责1. 负责运维平台/工具及Docker云平台的设计、开发、并持续迭代，并探索人工智能在运维方面的应用；2. 负责运维规范、体系建设，不断提升运营水平，包括设架构设计、容量规划、容灾演练等工作；任职要求";"深圳 南山区 科技园";"3-5年";"本科";"PythonShellGO";"大疆创新";"1000-9999人";"智能硬件"
"Python/Django工程师";"10K-20K";"【岗位职责】1.参与需求分析，产品设计，功能开发。2.快速开发产品服务端原型。3.设计并编写高质量网络应用程序代码。【岗位要求】1.计算机相关专业本科以上学历，扎实的计算机基础。2.精通Python语言，1年以上";"深圳 福田区 车公庙";"1-3年";"不限";"PythonWeb前端MYSQL";"库瑞德";"20-99人";"计算机软件"
"python爬虫工程师";"8K-16K";"岗位职责：1、负责定向数据的采集与爬取、解析处理、入库及备份等数据日常工作。2、负责分析新的数据需求, 评估数据采集难度，安排采集工作及时交付。3、负责非定向数据的清洗、整理、整合及合并等工作。岗位要求：1、熟练使用";"深圳 福田区 车公庙";"1-3年";"不限";"Python爬虫工程师网络爬虫";"库瑞德";"20-99人";"计算机软件"
"python开发";"15K-25K";"工作职责：1、 负责产品后台服务系统设计、开发和维护工作；2、 参与项目需求分析、联调以及测试工作；3、主动发现并提出项目中出现的各种问题，积极推进项目进度。任职资格：1、精通python，三年以上python开发经验；";"深圳 南山区 大冲";"3-5年";"本科";"PythonC/C++PHP";"500彩票网";"100-499人";"互联网"
"Python工程师";"12K-16K";"岗位职责：1 参与爬虫，数据解析和分析等功能的研发；2 负责分析结果的展示；3 负责项目所需的一些工具开发任职要求：1、有使用python web框架开发的经验，例如 flask/django；2、有使用pyth";"深圳 南山区 大冲";"3-5年";"大专";"Python数据挖掘python爬虫";"欢雀科技";"100-499人";"互联网"
"python开发";"13K-14K";"1.至少2年以上云计算开发经验，熟悉C或python语言经验者优先2.熟悉linux/uinx操作系统基础原理，熟练使用linux系统3.熟悉TCP/IP、HTTP等协议，有良好的网络、数据传输、安全、计算机体系结构方面的知识3";"深圳 南山区";"1-3年";"大专";"云计算Linux协议";"同方鼎欣";"1000-9999人";"计算机软件"
"python讲师";"15K-25K";"一：岗位职责：1、负责Python课程体系设计和完善；2、负责Python课程爬虫/数据分析/网站开发的讲授；3、完成领导交办的其它工作。任职要求：1、 Python工作经验3年以上2、熟练使用D";"深圳 南山区 西丽";"3-5年";"本科";"Pythonpython爬虫";"千锋互联";"500-999人";"在线教育"
"Python开发工程师";"15K-25K";"工作职责：1.参与产品的需求分析，服务接口设计；2.参与产品核心模块的编码和单元测试；3.负责服务器数据API接口开发，对服务器端和数据库性能进行优化；4.负责主导历史服务优化，问题定位；5.负责公司日常临时任务；";"深圳 南山区 深圳湾";"3-5年";"本科";"LinuxPythonShell";"回收宝";"100-499人";"电子商务"
"Python开发工程师";"15K-30K";"岗位职责1. 负责运维平台/工具的设计、开发、优化并持续迭代，提升运维效率2. 参与运营系统架构设计、改进、优化，并推动实施技术方案岗位要求：1、全日制本科及以上学历，计算机相关专业，2年以上运营系统开发经验2、熟练";"深圳 南山区 科技园";"5-10年";"本科";"python自动化运维";"达普信";"100-499人";"计算机软件"
"Python/C++金融软件开发工程师";"10K-15K";"职位描述：1.金融软件Python/C++工程师 (2名)年薪：12万～25万职位要求/Requirements:1 全日制本科或研究生2 良好的Python/C++基础，两年以上Python/C++编程经验（有混合编程";"深圳 南山区 科技园";"3-5年";"本科";"C/C++PythonVisual Studi";"米佳乐传媒";"20-99人";"音乐/视频/阅读"
"Python";"13K-20K";"1.	能独立分析问题，善于研究业务，分析产品；2.独立完成功能模块的开发及相关设计文档撰写工作；3.思维敏捷，为人踏实，善良正直，热爱学习技术，长期关注技术的发展趋势；4.开发和维护公司内部仓储/供应链等系统。任职资格：1.全日制计算机软件";"深圳 南山区";"1-3年";"本科";"后端开发数据库Python";"派喜科技";"0-20人";"移动互联网"
"Python开发";"8K-13K";"岗位要求：1、本科以上学历，计算机相关专业毕业；2、必须具有两年以上的C++或者Python项目开发经历；3、有金融相关项目开发经历者优先考虑；4、沟通能力良好，逻辑思维较强。注：本岗位不接受刚从培训机构毕业的学员。";"深圳 南山区 大冲";"1-3年";"本科";"C/C++PythonLinux";"亿达信息";"1000-9999人";"计算机软件"
"Python工程师";"15K-30K";"岗位职责：1.协同工作，独立开发完成高性能，可靠，可扩展的交易平台后端web页面开发;2.集成，测试，部署我们的系统;3.与前端团队协作，支持产品研发。岗位要求：1.211高校本科或以上学历，技术大牛可不受此限；";"深圳 南山区 南头";"3-5年";"本科";"Python后端开发";"牛宽科技";"20-99人";"计算机软件"
"python开发工程师";"8K-16K";"岗位职责：1、负责商城APP后端开发及功能维护，对接APP和接口服务层；2、负责运营系统后台管理功能开发及维护；3、持续改善服务，优化系统性能；岗位要求：1、统招大专及以上学历，计算机相关专业；2、2年以上Pyt";"深圳 南山区 西丽";"1-3年";"大专";"PythonPHP";"SheIn";"1000-9999人";"电子商务"
"高级python";"15K-25K";"1、至少3年以上Python编程经验；2、精通Python全栈开发，精通Django Web框架；3、深刻理解计算机原理，有良好的数据结构和算法基础；4、熟悉面向对象程序设计方法；5、熟练数据库表设计、SQL";"深圳 南山区 大冲";"3-5年";"不限";"PythonShellLinux";"泽林信息";"100-499人";"在线教育"
"Python开发工程师";"8K-13K";"岗位职责：负责金融系统设计、开发等工作。岗位要求：1、本科以上学历，计算机相关专业毕业；2、必须具有两年以上的C++或者Python项目开发经历；3、有金融相关项目开发经历者优先考虑；4、沟通能力良好，逻辑思维较强。";"深圳 南山区 大冲";"1-3年";"本科";"Pythonpython爬虫C/C++";"亿达信息";"1000-9999人";"计算机软件"
"python兼职/全职讲师";"15K-30K";"1、至少3年以上Python编程经验；2、精通Python全栈开发，精通Django Web框架；3、深刻理解计算机原理，有良好的数据结构和算法基础；4、熟悉面向对象程序设计方法；5、熟练数据库表设计、SQL";"深圳 南山区 大冲";"3-5年";"不限";"LinuxPythonShell";"泽林信息";"100-499人";"在线教育"
"python后台工程师";"8K-12K";"工作范围负责服务端架构设计、功能开发及维护。负责后台与客户端、数据端的通信实现。负责产品后台的稳定性及性能优化。职位要求熟练掌握Python全面扎实的软件知识结构（操作系统、软件工程、";"深圳 南山区";"经验不限";"本科";"Python";"新格";"0-20人";"数据服务"
