id,job_title,job_salary,job_requirement,job_addr,job_exp,job_edu,job_tags,company_name,company_employee_num,company_type
1,Python,15K-30K,熟悉Linux，redis等nosql数据库，精通python，C++等开发语言，清洗海量数据，开发策略回测平台，自动化测试工作等，就职需要证券从业资格证。,"深圳 南山区 深圳湾",1-3年,本科,C/C++量化Python,国信泰九,500-999人,互联网金融
2,Python,12K-16K,"任职要求：1. 熟悉在Unix/Linux平台上的Python服务端编程;2. 有较强的编码能力及良好的编程风格;3. 对数据结构和算法有比较好的理解和实践;4. 熟悉MVC架构，Tornado、Django、Flask等至","深圳 福田区 梅林",1-3年,大专,python爬虫Python,汇通易贷,100-499人,互联网
3,"Python 开发工程师",13K-18K,"工作职责1. 独当一面，负责服务端开发2. 参与整个产品的设计、需求分析岗位要求1. Python 工作经验2年+，本科+2. 有搭建后台框架的能力3. 精通Django或Flask4. 熟悉Linux开发环","深圳 龙华区 龙华",1-3年,本科,PythonLinux,食范儿技术,0-20人,O2O
4,游戏服务端Python开发工程师,12K-18K,游戏服务端Python开发工程师岗位职责：1.负责根据游戏系统架构设计拆分，把模块分解为具体任务；2.负责模块功能的实现和功能测试；3.负责编写和整理文档；4.负责功能整合和发布上线；5.负责其他岗位对接，,"深圳 宝安区 新安",3-5年,本科,HTML/CSSHTML5Javascript,普天乐,0-20人,游戏
5,Python开发工程师,8K-15K,1、两年以上Python开发经验，有互联网开发背景；2、掌握面向对象设计开发，熟悉常见设计模式；3、熟练使用常用MVC、ORM框架；4、熟悉MySQL数据库，有Redis或memcache缓存系统使用经验；5、熟悉分布式、缓,"深圳 南山区",1-3年,大专,Python,览众科技,100-499人,计算机软件
6,Python开发,15K-30K,"工作职责1. 负责运维平台/工具及Docker云平台的设计、开发、并持续迭代，并探索人工智能在运维方面的应用；2. 负责运维规范、体系建设，不断提升运营水平，包括设架构设计、容量规划、容灾演练等工作；任职要求","深圳 南山区 科技园",3-5年,本科,PythonShellGO,大疆创新,1000-9999人,智能硬件
7,Python,4K-8K,国内唯一一家上市的机器人教育公司:个人空间:1:个人能力提升快，专门有老教师负责一对一辅导。2:个人上升空间大，公司深圳扩张，人才需求量大。3:前期会学习很多教学的知识，会学习我们的课程。职位要求:国内唯一一家上市的机器人教育公,深圳,1年以内,本科,全职教学课程教学Java,乐博机器人学校,500-999人,在线教育
8,Python运营开发工程师,15K-30K,"岗位职责：    负责腾讯游戏运营平台设计与开发； 进行源代码的单元测试和质量控制； 负责关键技术研究，工具优化。岗位要求：   计算机相关专业本科及以上学历，3年以上后台开发经验； 精通Python，3年以上P","深圳 南山区 科技园",3-5年,本科,LinuxPython,腾讯,10000人以上,互联网
9,"python 工程师",10K-18K,"1.计算机相关专业本科以上学历2.熟悉 linux 操作系统3.有前端应用程序设计经验4.python 开发2年以上经验5.有pyqt 开发经验优先福利：1.五险一金，一档医疗2.不定期聚餐、活动3.双休","深圳 南山区 南油",5-10年,本科,PythonLinuxPyQt,国文科技,100-499人,互联网
10,Python开发工程师,15K-22K,工作职责：1.参与产品的需求分析，服务接口设计；2.参与产品核心模块的编码和单元测试；3.负责服务器数据API接口开发，对服务器端和数据库性能进行优化；4.负责主导历史服务优化，问题定位；5.负责公司日常临时任务；,"深圳 南山区 深圳湾",3-5年,本科,LinuxPythonShell,回收宝,100-499人,电子商务
